Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,date_id
Acura,MDX,SUV,Asia,All,"$36,945 ","$33,337 ",3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,2022
Acura,RSX Type S 2dr,Sedan,Asia,Front,"$23,820 ","$21,761 ",2.0,4.0,200.0,24.0,31.0,2778.0,101.0,172.0,2021
Acura,TSX 4dr,Sedan,Asia,Front,"$26,990 ","$24,647 ",2.4,4.0,200.0,22.0,29.0,3230.0,105.0,183.0,2021
Acura,TL 4dr,Sedan,Asia,Front,"$33,195 ","$30,299 ",3.2,6.0,270.0,20.0,28.0,3575.0,108.0,186.0,2023
Acura,3.5 RL 4dr,Sedan,Asia,Front,"$43,755 ","$39,014 ",3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,2024
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,"$46,100 ","$41,100 ",3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,2024
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,"$89,765 ","$79,978 ",3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,2021
Audi,A4 1.8T 4dr,Sedan,Europe,Front,"$25,940 ","$23,508 ",1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,2023
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,"$35,940 ","$32,506 ",1.8,4.0,170.0,23.0,30.0,3638.0,105.0,180.0,2022
Audi,A4 3.0 4dr,Sedan,Europe,Front,"$31,840 ","$28,846 ",3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,2024
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,"$33,430 ","$30,366 ",3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,2021
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,"$34,480 ","$31,388 ",3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,2022
Audi,A6 3.0 4dr,Sedan,Europe,Front,"$36,640 ","$33,129 ",3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,2021
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,"$39,640 ","$35,992 ",3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,2020
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,"$42,490 ","$38,325 ",3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,2024
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,"$44,240 ","$40,075 ",3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,2024
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,"$42,840 ","$38,840 ",2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,2021
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,"$49,690 ","$44,936 ",4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,2020
Audi,A8 L Quattro 4dr,Sedan,Europe,All,"$69,190 ","$64,740 ",4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,2023
Audi,S4 Quattro 4dr,Sedan,Europe,All,"$48,040 ","$43,556 ",4.2,8.0,340.0,14.0,20.0,3825.0,104.0,179.0,2021
Audi,RS 6 4dr,Sports,Europe,Front,"$84,600 ","$76,417 ",4.2,8.0,450.0,15.0,22.0,4024.0,109.0,191.0,2022
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,"$35,940 ","$32,512 ",1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,2024
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,"$37,390 ","$33,891 ",1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,2022
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,"$40,590 ","$36,739 ",3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,2022
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,"$40,840 ","$37,060 ",3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,2020
Audi,S4 Avant Quattro,Wagon,Europe,All,"$49,090 ","$44,446 ",4.2,8.0,340.0,15.0,21.0,3936.0,104.0,179.0,2023
BMW,X3 3.0i,SUV,Europe,All,"$37,000 ","$33,873 ",3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,2020
BMW,X5 4.4i,SUV,Europe,All,"$52,195 ","$47,720 ",4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,2023
BMW,325i 4dr,Sedan,Europe,Rear,"$28,495 ","$26,155 ",2.5,6.0,184.0,20.0,29.0,3219.0,107.0,176.0,2020
BMW,325Ci 2dr,Sedan,Europe,Rear,"$30,795 ","$28,245 ",2.5,6.0,184.0,20.0,29.0,3197.0,107.0,177.0,2024
,,,,,,,,,,,,,,,2024
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,"$37,995 ","$34,800 ",2.5,6.0,184.0,19.0,27.0,3560.0,107.0,177.0,2021
BMW,325xi 4dr,Sedan,Europe,All,"$30,245 ","$27,745 ",2.5,6.0,184.0,19.0,27.0,3461.0,107.0,176.0,2023
BMW,330i 4dr,Sedan,Europe,Rear,"$35,495 ","$32,525 ",3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,2020
BMW,330Ci 2dr,Sedan,Europe,Rear,"$36,995 ","$33,890 ",3.0,6.0,225.0,20.0,30.0,3285.0,107.0,176.0,2022
BMW,330xi 4dr,Sedan,Europe,All,"$37,245 ","$34,115 ",3.0,6.0,225.0,20.0,29.0,3483.0,107.0,176.0,2024
BMW,525i 4dr,Sedan,Europe,Rear,"$39,995 ","$36,620 ",2.5,6.0,184.0,19.0,28.0,3428.0,114.0,191.0,2024
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,"$44,295 ","$40,530 ",3.0,6.0,225.0,19.0,28.0,3616.0,107.0,177.0,2024
BMW,530i 4dr,Sedan,Europe,Rear,"$44,995 ","$41,170 ",3.0,6.0,225.0,20.0,30.0,3472.0,114.0,191.0,2024
,,,,,,,,,,,,,,,2023
BMW,545iA 4dr,Sedan,Europe,Rear,"$54,995 ","$50,270 ",4.4,8.0,325.0,18.0,26.0,3814.0,114.0,191.0,2024
BMW,745i 4dr,Sedan,Europe,Rear,"$69,195 ","$63,190 ",4.4,8.0,325.0,18.0,26.0,4376.0,118.0,198.0,2021
BMW,745Li 4dr,Sedan,Europe,Rear,"$73,195 ","$66,830 ",4.4,8.0,325.0,18.0,26.0,4464.0,123.0,204.0,2021
BMW,M3 coupe 2dr,Sports,Europe,Rear,"$48,195 ","$44,170 ",3.2,6.0,333.0,16.0,24.0,3415.0,108.0,177.0,2024
BMW,M3 convertible 2dr,Sports,Europe,Rear,"$56,595 ","$51,815 ",3.2,6.0,333.0,16.0,23.0,3781.0,108.0,177.0,2023
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,"$33,895 ","$31,065 ",2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0,2021
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,"$41,045 ","$37,575 ",3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0,2023
BMW,325xi Sport,Wagon,Europe,All,"$32,845 ","$30,110 ",2.5,6.0,184.0,19.0,26.0,3594.0,107.0,176.0,2023
Buick,Rainier,SUV,USA,All,"$37,895 ","$34,357 ",4.2,6.0,275.0,15.0,21.0,4600.0,113.0,193.0,2024
Buick,Rendezvous CX,SUV,USA,Front,"$26,545 ","$24,085 ",3.4,6.0,185.0,19.0,26.0,4024.0,112.0,187.0,2022
Buick,Century Custom 4dr,Sedan,USA,Front,"$22,180 ","$20,351 ",3.1,6.0,175.0,20.0,30.0,3353.0,109.0,195.0,2021
Buick,LeSabre Custom 4dr,Sedan,USA,Front,"$26,470 ","$24,282 ",3.8,6.0,205.0,20.0,29.0,3567.0,112.0,200.0,2020
Buick,Regal LS 4dr,Sedan,USA,Front,"$24,895 ","$22,835 ",3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0,2021
